"","Driver","GP","Tyres","From","To","X.Laps"
"569","Kevin Magnussen","Germany","Medium New",35,60,26
"570","Nicholas Latifi","Germany","Soft New",1,14,14
"571","Nicholas Latifi","Germany","Medium New",15,33,19
"572","Nicholas Latifi","Germany","Medium New",34,60,27
"573","Daniil Kvyat","Germany","Medium New",1,17,17
"574","Daniil Kvyat","Germany","Hard New",18,44,27
"575","Daniil Kvyat","Germany","Soft New",45,60,16
"576","Lando Norris","Germany","Soft Used",1,29,29
"577","Lando Norris","Germany","Medium New",30,42,13
"578","Alexander Albon","Germany","Soft Used",1,7,7
"579","Alexander Albon","Germany","Medium New",8,23,16
"580","Esteban Ocon","Germany","Soft Used",1,22,22
"581","Valtteri Bottas","Germany","Soft Used",1,13,13
"582","Valtteri Bottas","Germany","Medium New",14,18,5
"583","George Russell","Germany","Soft New",1,11,11
"584","George Russell","Germany","Medium New",12,12,1
"585","Lewis Hamilton","Portugal","Medium Used",1,40,40
"586","Lewis Hamilton","Portugal","Hard New",41,66,26
"587","Valtteri Bottas","Portugal","Medium Used",1,41,41
"588","Valtteri Bottas","Portugal","Hard New",42,66,25
"589","Max Verstappen","Portugal","Soft Used",1,23,23
"590","Max Verstappen","Portugal","Medium New",24,66,43
"591","Charles Leclerc","Portugal","Medium Used",1,34,34
"592","Charles Leclerc","Portugal","Hard New",35,66,32
"593","Pierre Gasly","Portugal","Soft Used",1,28,28
"594","Pierre Gasly","Portugal","Medium New",29,65,37
"595","Carlos Sainz","Portugal","Soft Used",1,26,26
"596","Carlos Sainz","Portugal","Medium New",27,65,39
"597","Sergio Perez","Portugal","Soft Used",1,1,1
"598","Sergio Perez","Portugal","Medium New",2,45,44
"599","Sergio Perez","Portugal","Soft Used",46,65,20
"600","Esteban Ocon","Portugal","Medium New",1,53,53
"601","Esteban Ocon","Portugal","Soft New",54,65,12
"602","Daniel Ricciardo","Portugal","Soft Used",1,14,14
"603","Daniel Ricciardo","Portugal","Medium New",15,65,51
"604","Sebastian Vettel","Portugal","Medium Used",1,27,27
"605","Sebastian Vettel","Portugal","Hard New",28,65,38
"606","Kimi Räikkönen","Portugal","Soft New",1,11,11
"607","Kimi Räikkönen","Portugal","Medium New",12,65,54
"608","Alexander Albon","Portugal","Medium Used",20,46,27
"609","Alexander Albon","Portugal","Soft Used",47,65,19
"610","Lando Norris","Portugal","Soft Used",1,18,18
"611","Lando Norris","Portugal","Hard New",19,43,25
"612","Lando Norris","Portugal","Medium New",44,65,22
"613","George Russell","Portugal","Medium New",1,36,36
"614","George Russell","Portugal","Hard New",37,65,29
"615","Antonio Giovinazzi","Portugal","Medium New",1,28,28
"616","Antonio Giovinazzi","Portugal","Hard New",29,65,37
"617","Kevin Magnussen","Portugal","Hard New",1,31,31
"618","Kevin Magnussen","Portugal","Medium New",32,65,34
"619","Romain Grosjean","Portugal","Medium New",1,26,26
"620","Romain Grosjean","Portugal","Hard New",27,65,39
"621","Nicholas Latifi","Portugal","Medium New",1,24,24
"622","Nicholas Latifi","Portugal","Hard New",25,64,40
"623","Daniil Kvyat","Portugal","Hard New",26,55,30
"624","Daniil Kvyat","Portugal","Medium New",1,25,25
"625","Daniil Kvyat","Portugal","Soft New",56,64,9
"626","Lance Stroll","Portugal","Medium New",1,18,18
"627","Lance Stroll","Portugal","Hard New",19,34,16
"628","Lance Stroll","Portugal","Soft New",35,51,17
"629","Alexander Albon","Portugal","Soft Used",1,19,19
"630","Lewis Hamilton","Imola","Medium Used",1,30,30
"631","Lewis Hamilton","Imola","Hard New",31,52,22
"632","Lewis Hamilton","Imola","Soft Used",53,63,11
"633","Valtteri Bottas","Imola","Medium Used",1,19,19
"634","Valtteri Bottas","Imola","Soft Used",52,63,12
"635","Daniel Ricciardo","Imola","Soft Used",1,14,14
"636","Daniel Ricciardo","Imola","Hard New",15,63,49
"637","Daniil Kvyat","Imola","Soft Used",1,14,14
"638","Daniil Kvyat","Imola","Hard New",15,51,37
"639","Daniil Kvyat","Imola","Soft Used",52,63,12
"640","Charles Leclerc","Imola","Soft Used",1,13,13
"641","Charles Leclerc","Imola","Hard New",14,63,50
"642","Sergio Perez","Imola","Medium New",1,27,27
"643","Sergio Perez","Imola","Soft New",52,63,12
"644","Carlos Sainz","Imola","Soft Used",1,17,17
"645","Carlos Sainz","Imola","Medium New",18,51,34
"646","Carlos Sainz","Imola","Soft Used",52,63,12
"647","Lando Norris","Imola","Soft Used",1,13,13
"648","Lando Norris","Imola","Medium New",14,53,40
"649","Lando Norris","Imola","Soft Used",54,63,10
"650","Kimi Räikkönen","Imola","Medium New",1,48,48
"651","Kimi Räikkönen","Imola","Soft New",49,63,15
"652","Antonio Giovinazzi","Imola","Soft New",1,10,10
"653","Antonio Giovinazzi","Imola","Medium New",11,63,53
"654","Nicholas Latifi","Imola","Medium New",1,34,34
"655","Nicholas Latifi","Imola","Hard New",35,63,29
"656","Sebastian Vettel","Imola","Medium New",1,39,39
"657","Sebastian Vettel","Imola","Hard New",40,51,12
"658","Sebastian Vettel","Imola","Soft New",52,63,12
"659","Lance Stroll","Imola","Medium Used",30,52,23
"660","Lance Stroll","Imola","Medium New",1,1,1
"661","Lance Stroll","Imola","Soft New",53,63,11
"662","Romain Grosjean","Imola","Medium New",1,9,9
"663","Romain Grosjean","Imola","Hard New",10,50,41
"664","Romain Grosjean","Imola","Soft New",51,63,13
"665","Alexander Albon","Imola","Soft Used",1,14,14
"666","Alexander Albon","Imola","Hard New",15,59,45
"667","Alexander Albon","Imola","Soft Used",60,63,4
"668","George Russell","Imola","Medium New",1,11,11
"669","George Russell","Imola","Hard New",12,51,40
"670","Max Verstappen","Imola","Medium Used",1,18,18
"671","Max Verstappen","Imola","Hard New",19,50,32
"672","Kevin Magnussen","Imola","Medium New",1,27,27
"673","Kevin Magnussen","Imola","Hard New",28,47,20
"674","Esteban Ocon","Imola","Medium New",1,13,13
"675","Esteban Ocon","Imola","Hard New",14,27,14
"676","Pierre Gasly","Imola","Soft Used",1,8,8
"677","Sergio Perez","Imola","Hard New",28,51,24
"678","Lance Stroll","Imola","Hard New",2,29,28
"679","Valtteri Bottas","Imola","Hard New",20,51,32
"680","Lewis Hamilton","Turkey","Wet New",1,8,8
"681","Lewis Hamilton","Turkey","Intermediate Used",9,58,50
"682","Sergio Perez","Turkey","Lluvia Extrema Usado",1,10,10
"683","Sergio Perez","Turkey","Intermediate New",11,58,48
"684","Sebastian Vettel","Turkey","Lluvia Extrema Usado",1,8,8
"685","Sebastian Vettel","Turkey","Intermediate New",9,33,25
"686","Sebastian Vettel","Turkey","Intermediate New",34,58,25
"687","Charles Leclerc","Turkey","Lluvia Extrema Usado",1,6,6
"688","Charles Leclerc","Turkey","Intermediate New",7,30,24
"689","Charles Leclerc","Turkey","Intermediate New",31,58,28
"690","Carlos Sainz","Turkey","Lluvia Extrema Usado",1,10,10
"691","Carlos Sainz","Turkey","Intermediate New",11,33,23
"692","Carlos Sainz","Turkey","Intermediate New",34,58,25
"693","Max Verstappen","Turkey","Lluvia Extrema Usado",1,11,11
"694","Max Verstappen","Turkey","Intermediate New",12,18,7
"695","Max Verstappen","Turkey","Intermediate Used",19,43,25
"696","Max Verstappen","Turkey","Intermediate New",44,58,15
"697","Alexander Albon","Turkey","Wet New",1,12,12
"698","Alexander Albon","Turkey","Intermediate New",13,34,22
"699","Alexander Albon","Turkey","Intermediate New",35,58,24
"700","Lando Norris","Turkey","Lluvia Extrema Usado",1,9,9
"701","Lando Norris","Turkey","Intermediate New",37,58,22
"702","Daniel Ricciardo","Turkey","Lluvia Extrema Usado",1,10,10
"703","Daniel Ricciardo","Turkey","Intermediate New",11,32,22
"704","Daniel Ricciardo","Turkey","Intermediate New",33,58,26
"705","Esteban Ocon","Turkey","Lluvia Extrema Usado",1,1,1
"706","Esteban Ocon","Turkey","Lluvia Extrema Usado",2,10,9
"707","Esteban Ocon","Turkey","Intermediate New",11,57,47
"708","Daniil Kvyat","Turkey","Lluvia Extrema Usado",1,8,8
"709","Daniil Kvyat","Turkey","Intermediate New",9,57,49
"710","Pierre Gasly","Turkey","Lluvia Extrema Usado",1,10,10
"711","Pierre Gasly","Turkey","Intermediate New",11,33,23
"712","Valtteri Bottas","Turkey","Intermediate Used",8,46,39
"713","Valtteri Bottas","Turkey","Intermediate New",47,57,11
"714","Kimi Räikkönen","Turkey","Lluvia Extrema Usado",1,8,8
"715","Kimi Räikkönen","Turkey","Intermediate New",9,30,22
"716","Kimi Räikkönen","Turkey","Intermediate Used",31,50,20
"717","Kimi Räikkönen","Turkey","Intermediate New",51,57,7
"718","George Russell","Turkey","Intermediate New",1,32,32
"719","George Russell","Turkey","Intermediate New",33,42,10
"720","George Russell","Turkey","Intermediate New",43,57,15
"721","Kevin Magnussen","Turkey","Lluvia Extrema Usado",1,8,8
"722","Kevin Magnussen","Turkey","Intermediate New",9,34,26
"723","Kevin Magnussen","Turkey","Intermediate Used",35,55,21
"724","Romain Grosjean","Turkey","Intermediate New",9,36,28
"725","Nicholas Latifi","Turkey","Intermediate New",1,8,8
"726","Nicholas Latifi","Turkey","Intermediate New",9,38,30
"727","Nicholas Latifi","Turkey","Intermediate New",39,39,1
"728","Antonio Giovinazzi","Turkey","Lluvia Extrema Usado",1,8,8
"729","Antonio Giovinazzi","Turkey","Intermediate New",9,11,3
"730","Lando Norris","Turkey","Intermediate New",10,36,27
"731","Lance Stroll","Turkey","Lluvia Extrema Usado",1,9,9
"732","Lance Stroll","Turkey","Intermediate New",10,36,27
"733","Lance Stroll","Turkey","Intermediate New",37,58,22
"734","Pierre Gasly","Turkey","Intermediate New",34,57,24
"735","Valtteri Bottas","Turkey","Wet New",1,7,7
"736","Romain Grosjean","Turkey","Lluvia Extrema Usado",1,8,8
"737","Romain Grosjean","Turkey","Intermediate New",37,49,13
"738","Lewis Hamilton","Bahrain","Medium Used",1,19,19
"739","Lewis Hamilton","Bahrain","Medium Used",20,35,16
"740","Lewis Hamilton","Bahrain","Hard New",36,57,22
"741","Max Verstappen","Bahrain","Medium Used",1,1,1
"742","Max Verstappen","Bahrain","Medium Used",2,20,19
"743","Max Verstappen","Bahrain","Hard New",21,34,14
"744","Max Verstappen","Bahrain","Hard New",35,46,12
"745","Max Verstappen","Bahrain","Medium Used",47,1,-45
"746","Alexander Albon","Bahrain","Medium Used",1,1,1
"747","Alexander Albon","Bahrain","Medium Used",2,19,18
"748","Alexander Albon","Bahrain","Medium Used",20,34,15
"749","Lando Norris","Bahrain","Medium Used",1,18,18
"750","Lando Norris","Bahrain","Medium Used",19,38,20
"751","Lando Norris","Bahrain","Hard New",39,57,19
"752","Carlos Sainz","Bahrain","Soft New",1,1,1
"753","Carlos Sainz","Bahrain","Soft New",2,21,20
"754","Carlos Sainz","Bahrain","Medium New",22,39,18
"755","Carlos Sainz","Bahrain","Hard New",40,57,18
"756","Pierre Gasly","Bahrain","Medium Used",1,1,1
"757","Pierre Gasly","Bahrain","Hard New",2,25,24
"758","Pierre Gasly","Bahrain","Hard New",26,57,32
"759","Daniel Ricciardo","Bahrain","Medium Used",1,16,16
"760","Daniel Ricciardo","Bahrain","Hard New",17,36,20
"761","Daniel Ricciardo","Bahrain","Hard New",37,57,21
"762","Valtteri Bottas","Bahrain","Medium Used",1,4,4
"763","Valtteri Bottas","Bahrain","Hard New",5,25,21
"764","Valtteri Bottas","Bahrain","Medium Used",26,38,13
"765","Valtteri Bottas","Bahrain","Medium Used",39,57,19
"766","Esteban Ocon","Bahrain","Medium Used",1,1,1
"767","Esteban Ocon","Bahrain","Medium Used",2,17,16
"768","Esteban Ocon","Bahrain","Medium Used",18,34,17
"769","Esteban Ocon","Bahrain","Hard New",35,57,23
"770","Charles Leclerc","Bahrain","Hard New",1,1,1
"771","Charles Leclerc","Bahrain","Medium Used",2,23,22
"772","Charles Leclerc","Bahrain","Hard New",24,40,17
"773","Charles Leclerc","Bahrain","Hard Used",41,56,16
"774","Daniil Kvyat","Bahrain","Medium Used",1,1,1
"775","Daniil Kvyat","Bahrain","Soft Used",2,17,16
"776","Daniil Kvyat","Bahrain","Hard New",18,33,16
"777","Daniil Kvyat","Bahrain","Hard New",34,56,23
"778","George Russell","Bahrain","Medium New",1,1,1
"779","George Russell","Bahrain","Medium New",2,20,19
"780","George Russell","Bahrain","Hard New",21,39,19
"781","George Russell","Bahrain","Medium Used",40,56,17
"782","Sebastian Vettel","Bahrain","Medium Used",1,1,1
"783","Sebastian Vettel","Bahrain","Hard New",2,20,19
"784","Sebastian Vettel","Bahrain","Medium Used",21,39,19
"785","Sebastian Vettel","Bahrain","Hard New",40,56,17
"786","Nicholas Latifi","Bahrain","Hard New",1,1,1
"787","Nicholas Latifi","Bahrain","Medium New",2,21,20
"788","Nicholas Latifi","Bahrain","Medium New",22,37,16
"789","Nicholas Latifi","Bahrain","Hard Used",38,56,19
"790","Kimi Räikkönen","Bahrain","Medium New",1,1,1
"791","Kimi Räikkönen","Bahrain","Medium New",2,17,16
"792","Kimi Räikkönen","Bahrain","Medium Used",41,56,16
"793","Antonio Giovinazzi","Bahrain","Medium New",2,20,19
"794","Antonio Giovinazzi","Bahrain","Soft New",54,56,3
"795","Kevin Magnussen","Bahrain","Medium New",1,1,1
"796","Kevin Magnussen","Bahrain","Hard New",2,3,2
"797","Kevin Magnussen","Bahrain","Hard New",4,27,24
"798","Kevin Magnussen","Bahrain","Hard Used",28,53,26
"799","Kevin Magnussen","Bahrain","Soft New",54,56,3
"800","Sergio Perez","Bahrain","Medium Used",1,1,1
"801","Sergio Perez","Bahrain","Medium Used",2,20,19
"802","Sergio Perez","Bahrain","Hard New",21,36,16
"803","Lance Stroll","Bahrain","Medium Used",1,1,1
"804","Lance Stroll","Bahrain","Medium Used",2,2,1
"805","Romain Grosjean","Bahrain","Hard New",1,1,1
"806","Kimi Räikkönen","Bahrain","Hard New",18,40,23
"807","Alexander Albon","Bahrain","Hard New",35,57,23
"808","Antonio Giovinazzi","Bahrain","Hard New",21,53,33
"809","Sergio Perez","Bahrain","Hard New",37,53,17
"810","Antonio Giovinazzi","Bahrain","Medium New",1,1,1
"811","Sergio Perez","Sakhir","Soft Used",1,1,1
"812","Sergio Perez","Sakhir","Medium New",2,47,46
"813","Sergio Perez","Sakhir","Hard New",48,87,40
"814","Esteban Ocon","Sakhir","Medium New",1,41,41
"815","Esteban Ocon","Sakhir","Hard New",42,87,46
"816","Lance Stroll","Sakhir","Soft Used",1,42,42
"817","Lance Stroll","Sakhir","Medium New",43,87,45
"818","Carlos Sainz","Sakhir","Soft Used",1,28,28
"819","Carlos Sainz","Sakhir","Medium New",29,55,27
"820","Carlos Sainz","Sakhir","Medium New",56,87,32
"821","Daniel Ricciardo","Sakhir","Soft Used",1,29,29
"822","Daniel Ricciardo","Sakhir","Medium New",30,55,26
"823","Daniel Ricciardo","Sakhir","Hard New",56,87,32
"824","Alexander Albon","Sakhir","Medium New",1,47,47
"825","Alexander Albon","Sakhir","Hard New",48,62,15
"826","Alexander Albon","Sakhir","Soft New",63,87,25
"827","Daniil Kvyat","Sakhir","Soft Used",1,27,27
"828","Daniil Kvyat","Sakhir","Medium Used",28,53,26
"829","Daniil Kvyat","Sakhir","Hard New",54,87,34
"830","Valtteri Bottas","Sakhir","Medium Used",1,49,49
"831","Valtteri Bottas","Sakhir","Hard New",50,62,13
"832","Valtteri Bottas","Sakhir","Hard Used",63,87,25
"833","George Russell","Sakhir","Medium Used",1,45,45
"834","George Russell","Sakhir","Hard New",46,62,17
"835","George Russell","Sakhir","Medium Used",63,63,1
"836","George Russell","Sakhir","Medium Used",64,78,15
"837","George Russell","Sakhir","Soft Used",79,87,9
"838","Lando Norris","Sakhir","Soft New",1,20,20
"839","Lando Norris","Sakhir","Medium New",21,54,34
"840","Lando Norris","Sakhir","Medium New",55,87,33
"841","Pierre Gasly","Sakhir","Soft Used",1,28,28
"842","Pierre Gasly","Sakhir","Medium Used",29,51,23
"843","Pierre Gasly","Sakhir","Hard New",52,87,36
"844","Sebastian Vettel","Sakhir","Medium Used",1,31,31
"845","Sebastian Vettel","Sakhir","Hard New",32,54,23
"846","Sebastian Vettel","Sakhir","Soft New",55,63,9
"847","Sebastian Vettel","Sakhir","Soft Used",64,87,24
"848","Antonio Giovinazzi","Sakhir","Medium New",1,26,26
"849","Antonio Giovinazzi","Sakhir","Hard New",27,54,28
"850","Antonio Giovinazzi","Sakhir","Medium New",55,87,33
"851","Kimi Räikkönen","Sakhir","Medium New",1,23,23
"852","Kimi Räikkönen","Sakhir","Hard New",24,54,31
"853","Kimi Räikkönen","Sakhir","Medium New",55,62,8
"854","Kimi Räikkönen","Sakhir","Soft New",63,87,25
"855","Kevin Magnussen","Sakhir","Soft New",1,26,26
"856","Kevin Magnussen","Sakhir","Medium New",27,54,28
"857","Kevin Magnussen","Sakhir","Soft Used",55,87,33
"858","Jack Aitken","Sakhir","Medium New",1,31,31
"859","Jack Aitken","Sakhir","Hard New",32,54,23
"860","Jack Aitken","Sakhir","Medium New",55,59,5
"861","Jack Aitken","Sakhir","Soft New",60,87,28
"862","Pietro Fittipaldi","Sakhir","Soft New",1,31,31
"863","Pietro Fittipaldi","Sakhir","Medium New",32,53,22
"864","Pietro Fittipaldi","Sakhir","Soft Used",54,63,10
"865","Pietro Fittipaldi","Sakhir","Soft Used",64,87,24
"866","Nicholas Latifi","Sakhir","Soft New",1,27,27
"867","Nicholas Latifi","Sakhir","Medium New",28,52,25
"868","Charles Leclerc","Sakhir","Soft Used",1,1,1
"869","Max Verstappen","Sakhir","Soft Used",1,1,1
"870","Max Verstappen","Abu Dhabi","Medium Used",1,10,10
"871","Max Verstappen","Abu Dhabi","Hard New",11,55,45
"872","Valtteri Bottas","Abu Dhabi","Medium Used",1,10,10
"873","Valtteri Bottas","Abu Dhabi","Hard New",11,55,45
"874","Lewis Hamilton","Abu Dhabi","Medium Used",1,10,10
"875","Lewis Hamilton","Abu Dhabi","Hard New",11,55,45
"876","Alexander Albon","Abu Dhabi","Soft Used",1,10,10
"877","Alexander Albon","Abu Dhabi","Hard New",11,55,45
"878","Lando Norris","Abu Dhabi","Soft Used",1,10,10
"879","Lando Norris","Abu Dhabi","Hard New",11,55,45
"880","Carlos Sainz","Abu Dhabi","Medium Used",1,10,10
"881","Carlos Sainz","Abu Dhabi","Hard New",11,55,45
"882","Daniel Ricciardo","Abu Dhabi","Hard New",1,39,39
"883","Daniel Ricciardo","Abu Dhabi","Medium New",40,55,16
"884","Pierre Gasly","Abu Dhabi","Soft Used",1,10,10
"885","Pierre Gasly","Abu Dhabi","Hard New",11,55,45
"886","Esteban Ocon","Abu Dhabi","Medium New",1,10,10
"887","Esteban Ocon","Abu Dhabi","Hard New",11,55,45
"888","Lance Stroll","Abu Dhabi","Soft Used",1,10,10
"889","Lance Stroll","Abu Dhabi","Hard New",11,55,45
"890","Daniil Kvyat","Abu Dhabi","Soft Used",1,10,10
"891","Daniil Kvyat","Abu Dhabi","Hard New",11,54,44
"892","Kimi Räikkönen","Abu Dhabi","Medium New",1,10,10
"893","Kimi Räikkönen","Abu Dhabi","Hard New",11,54,44
"894","Charles Leclerc","Abu Dhabi","Medium Used",1,22,22
"895","Charles Leclerc","Abu Dhabi","Hard New",23,54,32
"896","Sebastian Vettel","Abu Dhabi","Hard New",1,35,35
"897","Sebastian Vettel","Abu Dhabi","Medium New",36,54,19
"898","George Russell","Abu Dhabi","Medium New",1,10,10
"899","George Russell","Abu Dhabi","Hard New",11,54,44
"900","Antonio Giovinazzi","Abu Dhabi","Medium New",1,27,27
"901","Antonio Giovinazzi","Abu Dhabi","Hard New",28,54,27
"902","Nicholas Latifi","Abu Dhabi","Medium New",1,11,11
"903","Nicholas Latifi","Abu Dhabi","Hard New",12,35,24
"904","Nicholas Latifi","Abu Dhabi","Medium New",36,54,19
"905","Kevin Magnussen","Abu Dhabi","Hard New",1,31,31
"906","Kevin Magnussen","Abu Dhabi","Medium New",32,47,16
"907","Kevin Magnussen","Abu Dhabi","Medium New",48,54,7
"908","Pietro Fittipaldi","Abu Dhabi","Medium New",1,10,10
"909","Pietro Fittipaldi","Abu Dhabi","Hard New",11,34,24
"910","Pietro Fittipaldi","Abu Dhabi","Medium New",35,48,14
"911","Pietro Fittipaldi","Abu Dhabi","Soft Used",49,53,5
"912","Sergio Perez","Abu Dhabi","Hard New",1,8,8
